"district","element","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"ARCH","wy","1|38","19|22","28|13","18|23","9|32","14|27","6|35","4|36","11|30","7|34","5|37","4|37"
"ISKY","wy","6|51","24|32","34|21","8|47","6|48","22|34","9|47","5|50","12|44","18|39","9|48","7|50"
"NEED","wy","2|54","10|46","17|38","22|34","13|42","16|39","7|49","3|51","13|43","9|48","3|54","1|56"
"MAZE","wy","1|39","15|26","19|22","2|38","3|38","26|14","16|25","9|32","12|29","7|34","4|37","2|38"
"HOVE","wy","8|57","13|50","36|27","33|30","16|45","28|36","15|50","10|53","15|46","19|46","14|49","14|49"
"NABR","wy","1|54","18|38","26|30","12|44","10|45","18|38","8|48","5|50","11|46","7|50","4|53","2|55"
"MOAB","wy","1|118","71|53","84|42","59|68","33|92","59|68","26|102","16|112","33|94","28|99","13|114","10|117"
